Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-25,10.26,10.26,10.14,10.17,89300,0.0,0.0
2019-03-26,10.17,10.26,10.17,10.24,58500,0.0,0.0
2019-03-27,10.24,10.26,10.13,10.16,91500,0.0,0.0
2019-03-28,10.16,10.25,10.16,10.22,50400,0.0,0.0
2019-03-29,10.26,10.39,10.26,10.37,122600,0.0,0.0
2019-04-01,10.37,10.47,10.36,10.44,89400,0.0,0.0
2019-04-02,10.43,10.5,10.43,10.45,62800,0.0,0.0
2019-04-03,10.46,10.52,10.46,10.52,75800,0.0,0.0
2019-04-04,10.52,10.6,10.5,10.53,89600,0.0,0.0
2019-04-05,10.54,10.56,10.5,10.55,92800,0.0,0.0
2019-04-08,10.51,10.56,10.5,10.54,65500,0.0,0.0
2019-04-09,10.56,10.58,10.52,10.55,58300,0.0,0.0
2019-04-10,10.54,10.6,10.54,10.58,50900,0.0,0.0
2019-04-11,10.58,10.65,10.56,10.61,99700,0.0,0.0
2019-04-12,10.62,10.69,10.61,10.65,69500,0.0,0.0
2019-04-15,10.69,10.79,10.68,10.76,208700,0.0,0.0
2019-04-16,10.82,10.96,10.79,10.95,140700,0.0,0.0
2019-04-17,10.95,11.01,10.85,10.9,178900,0.0,0.0
2019-04-18,10.88,10.9,10.61,10.69,135300,0.12,0.0
2019-04-22,10.73,10.76,10.58,10.7,96900,0.0,0.0
2019-04-23,10.71,10.79,10.61,10.72,82700,0.0,0.0
2019-04-24,10.73,10.74,10.69,10.71,54600,0.0,0.0
2019-04-25,10.73,10.75,10.68,10.74,56400,0.0,0.0
2019-04-26,10.72,10.93,10.72,10.91,70000,0.0,0.0
2019-04-29,10.9,10.97,10.41,10.91,83600,0.0,0.0
2019-04-30,10.93,11.01,10.92,11.0,82300,0.0,0.0
2019-05-01,11.03,11.08,10.99,10.99,111600,0.0,0.0
2019-05-02,10.97,11.0,10.95,10.99,97100,0.0,0.0
2019-05-03,11.0,11.12,11.0,11.1,64500,0.0,0.0
2019-05-06,10.97,11.2,10.97,11.1,197400,0.0,0.0
2019-05-07,11.07,11.12,10.99,10.99,95900,0.0,0.0
2019-05-08,10.97,11.12,10.95,11.09,74200,0.0,0.0
2019-05-09,11.06,11.06,10.89,10.91,89100,0.0,0.0
2019-05-10,10.88,11.05,10.88,10.94,54900,0.0,0.0
2019-05-13,10.9,10.94,10.87,10.93,71700,0.0,0.0
2019-05-14,10.93,11.06,10.91,10.99,126500,0.0,0.0
2019-05-15,10.97,11.08,10.93,11.06,55500,0.0,0.0
2019-05-16,11.08,11.41,11.03,11.18,195600,0.0,0.0
2019-05-17,11.18,11.25,11.16,11.19,93000,0.0,0.0
2019-05-20,11.18,11.25,11.13,11.13,166600,0.0,0.0
2019-05-21,11.13,11.16,11.08,11.11,118800,0.12,0.0
2019-05-22,11.06,11.11,10.99,11.02,120200,0.0,0.0
2019-05-23,10.97,10.97,10.87,10.95,63400,0.0,0.0
2019-05-24,10.97,11.06,10.97,11.04,67000,0.0,0.0
2019-05-28,11.09,11.13,11.01,11.03,37400,0.0,0.0
2019-05-29,10.99,11.02,10.65,10.68,217800,0.0,0.0
2019-05-30,10.64,10.75,10.64,10.72,46900,0.0,0.0
