Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-25,25490.72,25698.44,25262.15,25516.83,3376580000,0,0
2019-03-26,25649.56,25899.01,25460.34,25657.73,3266050000,0,0
2019-03-27,25676.34,25846.26,25400.07,25625.59,3372930000,0,0
2019-03-28,25693.32,25822.53,25535.03,25717.46,3158170000,0,0
2019-03-29,25827.31,26018.21,25686.65,25928.68,3740700000,0,0
2019-04-01,26075.1,26383.92,25948.75,26258.42,3500760000,0,0
2019-04-02,26213.55,26350.28,26023.99,26179.13,3246900000,0,0
2019-04-03,26238.03,26398.3,26052.27,26218.13,3550240000,0,0
2019-04-04,26213.42,26508.07,26103.34,26384.63,3015180000,0,0
2019-04-05,26427.56,26583.18,26288.97,26424.99,3146820000,0,0
2019-04-08,26312.67,26447.94,26129.69,26341.02,3054030000,0,0
2019-04-09,26243.54,26314.54,26012.56,26150.58,3007980000,0,0
2019-04-10,26173.71,26298.94,25993.17,26157.16,3062380000,0,0
2019-04-11,26188.21,26349.02,25942.03,26143.05,2938540000,0,0
2019-04-12,26357.79,26607.09,26123.42,26412.3,3688490000,0,0
2019-04-15,26407.76,26548.59,26207.55,26384.77,3088330000,0,0
2019-04-16,26482.19,26727.74,26226.37,26452.66,3402210000,0,0
2019-04-17,26468.53,26728.18,26183.13,26449.54,3602300000,0,0
2019-04-18,26463.37,26737.91,26322.13,26559.54,3506850000,0,0
2019-04-22,26510.77,26670.17,26336.76,26511.05,2997950000,0,0
2019-04-23,26513.83,26786.37,26389.92,26656.39,3635030000,0,0
2019-04-24,26652.56,26822.76,26437.46,26597.05,3448960000,0,0
2019-04-25,26426.37,26684.81,26179.91,26462.08,3425280000,0,0
2019-04-26,26454.62,26647.91,26254.29,26543.33,3248500000,0,0
2019-04-29,26559.87,26745.17,26380.94,26554.39,3118780000,0,0
2019-04-30,26594.56,26779.49,26312.06,26592.91,3919330000,0,0
2019-05-01,26639.06,26828.32,26364.69,26430.14,3645850000,0,0
2019-05-02,26407.15,26550.15,26116.36,26307.79,3778890000,0,0
2019-05-03,26379.14,26624.82,26281.9,26504.95,3338120000,0,0
2019-05-06,26160.62,26508.37,25960.0,26438.48,3181520000,0,0
2019-05-07,26276.9,26276.9,25764.84,25965.09,3767100000,0,0
2019-05-08,25933.79,26181.57,25787.36,25967.33,3485790000,0,0
2019-05-09,25878.85,25884.89,25517.39,25828.36,3638820000,0,0
2019-05-10,25763.72,26032.4,25430.01,25942.37,3529600000,0,0
2019-05-13,25568.06,25620.15,25164.7,25324.99,3894030000,0,0
2019-05-14,25384.03,25755.21,25301.86,25532.05,3322720000,0,0
2019-05-15,25400.13,25776.1,25272.7,25648.02,3125950000,0,0
2019-05-16,25692.14,26086.62,25623.67,25862.68,3338060000,0,0
2019-05-17,25719.95,26000.39,25564.8,25764.0,3257950000,0,0
2019-05-20,25655.31,25842.77,25480.64,25679.9,3288870000,0,0
2019-05-21,25782.34,25995.67,25660.29,25877.33,3218700000,0,0
2019-05-22,25818.46,25878.21,25755.11,25776.61,3192510000,0,0
2019-05-23,25657.99,25657.99,25328.09,25490.47,3891980000,0,0
2019-05-24,25551.07,25776.24,25429.4,25585.69,2887390000,0,0
2019-05-28,25616.55,25717.63,25342.28,25347.77,4121410000,0,0
2019-05-29,25231.46,25231.46,24938.24,25126.41,3700050000,0,0
2019-05-30,25139.94,25218.54,25066.75,25169.88,3273790000,0,0
2019-05-31,25046.31,25046.31,24809.51,24815.04,3981020000,0,0
2019-06-03,24830.2,24935.21,24680.57,24819.78,3943810000,0,0
2019-06-04,24962.82,25343.77,24962.82,25332.18,3810430000,0,0
2019-06-05,25451.0,25544.66,25373.58,25539.57,3548830000,0,0
2019-06-06,25567.45,25800.3,25518.05,25720.66,3396410000,0,0
2019-06-07,25768.72,26072.75,25768.72,25983.94,3220250000,0,0
2019-06-10,26090.22,26210.61,26054.31,26062.68,3209210000,0,0
2019-06-11,26180.59,26248.67,25998.87,26048.51,3548420000,0,0
2019-06-12,26040.3,26082.1,25958.66,26004.83,3034130000,0,0
2019-06-13,26036.94,26146.91,25995.71,26106.77,3069810000,0,0
2019-06-14,26076.36,26162.28,25988.09,26089.61,2922330000,0,0
2019-06-17,26108.5,26165.78,26049.8,26112.53,2810140000,0,0
2019-06-18,26228.9,26527.19,26227.8,26465.54,3437620000,0,0
2019-06-19,26490.16,26569.75,26415.05,26504.0,3287890000,0,0
2019-06-20,26665.38,26798.63,26539.69,26753.17,3905940000,0,0
2019-06-21,26749.12,26907.37,26705.87,26719.13,5000120000,0,0
2019-06-24,26727.61,26806.52,26723.37,26727.54,3136250000,0,0
2019-06-25,26731.61,26752.31,26527.66,26548.22,3578050000,0,0
2019-06-26,26599.42,26660.04,26536.33,26536.82,3478130000,0,0
2019-06-27,26523.72,26607.24,26465.32,26526.58,3122920000,0,0
2019-06-28,26605.93,26638.35,26522.27,26599.96,5420700000,0,0
2019-07-01,26805.86,26890.64,26616.21,26717.43,3513270000,0,0
2019-07-02,26719.53,26787.56,26632.65,26786.68,3206840000,0,0
2019-07-03,26832.32,26966.0,26831.44,26966.0,1963720000,0,0
2019-07-05,26867.75,26950.81,26733.33,26922.12,2434210000,0,0
2019-07-08,26835.64,26839.14,26744.87,26806.14,2904550000,0,0
2019-07-09,26725.12,26807.7,26665.57,26783.49,3028210000,0,0
2019-07-10,26851.96,26983.45,26813.11,26860.2,3154240000,0,0
2019-07-11,26950.16,27088.45,26916.32,27088.08,3154620000,0,0
2019-07-12,27139.49,27333.79,27135.45,27332.03,2974960000,0,0
2019-07-15,27364.69,27364.69,27294.17,27359.16,2874970000,0,0
2019-07-16,27349.32,27398.68,27290.24,27335.63,3290650000,0,0
2019-07-17,27320.91,27343.06,27218.38,27219.85,3181600000,0,0
2019-07-18,27191.98,27266.81,27068.79,27222.97,3296580000,0,0
2019-07-19,27246.38,27342.96,27145.78,27154.2,3260360000,0,0
2019-07-22,27174.18,27227.77,27088.9,27171.9,3003720000,0,0
2019-07-23,27231.86,27368.81,27204.58,27349.19,3313660000,0,0
2019-07-24,27262.24,27291.04,27191.12,27269.97,3428980000,0,0
2019-07-25,27247.39,27298.43,27062.48,27140.98,3645270000,0,0
2019-07-26,27166.0,27213.7,27123.25,27192.45,3257590000,0,0
2019-07-29,27192.24,27275.85,27178.06,27221.35,3203710000,0,0
2019-07-30,27145.39,27224.36,27069.86,27198.02,3634330000,0,0
2019-07-31,27244.67,27281.65,26719.6,26864.27,4623430000,0,0
2019-08-01,26879.86,27175.59,26548.71,26583.42,4762300000,0,0
2019-08-02,26528.66,26570.02,26249.22,26485.01,3874660000,0,0
2019-08-05,26259.23,26259.23,25523.38,25717.74,4513730000,0,0
2019-08-06,25810.62,26038.68,25710.87,26029.52,4154240000,0,0
2019-08-07,25814.22,26073.21,25440.39,26007.07,4491750000,0,0
2019-08-08,26086.52,26383.61,26038.1,26378.19,4106370000,0,0
2019-08-09,26337.09,26413.36,26097.64,26287.44,3350640000,0,0
2019-08-12,26169.91,26178.95,25824.94,25896.44,2851630000,0,0
2019-08-13,25888.88,26426.97,25833.25,26279.91,3853600000,0,0
2019-08-14,26035.08,26035.08,25471.59,25479.42,4312530000,0,0
2019-08-15,25514.25,25639.69,25339.6,25579.39,4038000000,0,0
2019-08-16,25678.17,25929.65,25678.17,25886.01,3498150000,0,0
2019-08-19,26020.06,26222.32,26020.06,26135.79,3212880000,0,0
2019-08-20,26086.86,26160.12,25952.0,25962.44,3066300000,0,0
2019-08-21,26145.36,26268.32,26141.77,26202.73,3011190000,0,0
2019-08-22,26271.64,26388.78,26099.01,26252.24,2890880000,0,0
2019-08-23,26134.21,26320.29,25507.18,25628.9,3937300000,0,0
2019-08-26,25826.05,25941.25,25716.39,25898.83,2857600000,0,0
2019-08-27,26014.46,26054.02,25721.85,25777.9,3533630000,0,0
2019-08-28,25712.99,26041.57,25637.43,26036.1,3097420000,0,0
2019-08-29,26249.09,26408.84,26185.71,26362.25,3176190000,0,0
2019-08-30,26476.39,26514.62,26295.59,26403.28,3008450000,0,0
2019-09-03,26198.26,26198.26,25978.22,26118.02,3426790000,0,0
2019-09-04,26301.99,26362.35,26244.44,26355.47,3163260000,0,0
2019-09-05,26603.15,26836.3,26603.15,26728.15,3890700000,0,0
2019-09-06,26790.25,26860.87,26708.39,26797.46,3208280000,0,0
2019-09-09,26866.23,26900.83,26762.18,26835.51,4002890000,0,0
2019-09-10,26805.83,26909.43,26717.05,26909.43,4390770000,0,0
2019-09-11,26928.05,27137.04,26885.48,27137.04,3927550000,0,0
2019-09-12,27197.32,27306.73,27105.01,27182.45,3791860000,0,0
2019-09-13,27216.67,27277.55,27193.95,27219.52,3520060000,0,0
2019-09-16,27146.06,27172.87,27032.56,27076.82,4274640000,0,0
2019-09-17,27010.12,27110.8,26984.14,27110.8,3671840000,0,0
2019-09-18,27075.39,27161.93,26899.15,27147.08,3435540000,0,0
2019-09-19,27186.05,27272.17,27064.21,27094.79,3251290000,0,0
2019-09-20,27102.18,27194.75,26926.68,26935.07,6094740000,0,0
2019-09-23,26851.45,27011.07,26831.34,26949.99,3186590000,0,0
2019-09-24,27034.07,27079.68,26704.96,26807.77,3868160000,0,0
2019-09-25,26866.71,27016.56,26755.86,26970.71,3318870000,0,0
2019-09-26,27004.11,27015.07,26803.84,26891.12,3077240000,0,0
2019-09-27,26987.26,27012.54,26715.82,26820.25,3243650000,0,0
2019-09-30,26852.33,26998.86,26852.33,26916.83,3247610000,0,0
2019-10-01,26962.54,27046.21,26562.22,26573.04,3558040000,0,0
2019-10-02,26425.86,26438.04,25974.12,26078.62,3912520000,0,0
2019-10-03,26039.02,26205.2,25743.46,26201.04,3503640000,0,0
2019-10-04,26271.7,26590.74,26271.7,26573.72,2990830000,0,0
2019-10-07,26502.33,26655.84,26424.54,26478.02,2940140000,0,0
2019-10-08,26276.59,26421.81,26139.8,26164.04,3356450000,0,0
2019-10-09,26308.23,26424.31,26249.75,26346.01,2726820000,0,0
2019-10-10,26317.35,26603.31,26314.51,26496.67,3217250000,0,0
2019-10-11,26694.2,27013.97,26694.2,26816.59,3580460000,0,0
2019-10-14,26766.43,26874.33,26749.18,26787.36,2557020000,0,0
2019-10-15,26811.2,27120.11,26811.2,27024.8,3340740000,0,0
2019-10-16,26972.31,27058.34,26943.29,27001.98,3222570000,0,0
2019-10-17,27032.38,27112.16,26970.29,27025.88,3115960000,0,0
2019-10-18,27004.49,27018.25,26770.13,26770.2,3264290000,0,0
2019-10-21,26852.67,26852.67,26747.62,26827.64,3271620000,0,0
2019-10-22,26850.43,26946.64,26782.61,26788.1,3523890000,0,0
2019-10-23,26835.24,26896.89,26745.0,26833.95,3392870000,0,0
2019-10-24,26893.93,26931.78,26714.34,26805.53,3692600000,0,0
2019-10-25,26789.61,27015.37,26765.68,26958.06,3370370000,0,0
2019-10-28,27040.33,27167.88,27028.71,27090.72,3521230000,0,0
2019-10-29,27061.07,27165.94,27039.76,27071.46,3589930000,0,0
2019-10-30,27110.71,27204.36,26999.64,27186.69,3776030000,0,0
2019-10-31,27188.37,27188.37,26918.29,27046.23,4139280000,0,0
2019-11-01,27142.95,27347.43,27142.95,27347.36,3930200000,0,0
2019-11-04,27402.06,27517.58,27402.06,27462.11,4146850000,0,0
2019-11-05,27500.23,27560.36,27453.55,27492.63,4486130000,0,0
2019-11-06,27502.74,27526.05,27407.81,27492.56,4458190000,0,0
2019-11-07,27590.16,27774.67,27590.16,27674.8,4144640000,0,0
2019-11-08,27686.2,27694.95,27578.97,27681.24,3499150000,0,0
2019-11-11,27580.66,27714.39,27517.67,27691.49,3035530000,0,0
2019-11-12,27701.59,27770.86,27635.32,27691.49,3466010000,0,0
2019-11-13,27622.04,27806.4,27587.2,27783.59,3509280000,0,0
2019-11-14,27757.2,27800.71,27676.97,27781.96,3276070000,0,0
2019-11-15,27843.54,28004.89,27843.54,28004.89,3335650000,0,0
2019-11-18,27993.22,28040.97,27969.24,28036.22,3436690000,0,0
2019-11-19,28079.76,28090.21,27894.52,27934.02,3590070000,0,0
2019-11-20,27879.55,27897.28,27675.28,27821.09,4034890000,0,0
2019-11-21,27820.28,27828.33,27708.34,27766.29,3720560000,0,0
2019-11-22,27831.23,27898.46,27773.98,27875.62,3226780000,0,0
2019-11-25,27917.77,28068.69,27917.77,28066.47,3511530000,0,0
2019-11-26,28080.75,28146.02,28042.21,28121.68,4595590000,0,0
2019-11-27,28156.47,28174.97,28075.23,28164.0,3033090000,0,0
2019-11-29,28103.16,28119.51,28042.53,28051.41,1743020000,0,0
2019-12-02,28109.74,28109.84,27782.35,27783.04,3268740000,0,0
2019-12-03,27501.98,27524.74,27325.13,27502.81,3653390000,0,0
2019-12-04,27634.63,27727.45,27612.08,27649.78,3695030000,0,0
2019-12-05,27736.05,27745.2,27562.8,27677.79,3355750000,0,0
2019-12-06,27839.68,28035.85,27839.68,28015.06,3479480000,0,0
2019-12-09,27987.05,28010.42,27906.14,27909.6,3345990000,0,0
2019-12-10,27900.65,27949.02,27804.0,27881.72,3343790000,0,0
2019-12-11,27867.31,27925.5,27801.8,27911.3,3252540000,0,0
2019-12-12,27898.34,28224.95,27859.87,28132.05,3990690000,0,0
2019-12-13,28123.64,28290.73,28028.32,28135.38,3736870000,0,0
2019-12-16,28191.67,28337.49,28191.67,28235.89,4051790000,0,0
2019-12-17,28221.75,28328.63,28220.56,28267.16,3837540000,0,0
2019-12-18,28291.44,28323.25,28239.28,28239.28,4014080000,0,0
2019-12-19,28278.31,28381.48,28278.24,28376.96,3720450000,0,0
2019-12-20,28608.64,28608.64,28445.6,28455.09,6454270000,0,0
2019-12-23,28491.78,28582.49,28491.78,28551.53,3060610000,0,0
2019-12-24,28572.57,28576.8,28503.21,28515.45,1296540000,0,0
2019-12-26,28539.46,28624.1,28535.15,28621.39,2160680000,0,0
2019-12-27,28675.34,28701.66,28608.98,28645.26,2428670000,0,0
2019-12-30,28654.76,28664.69,28428.98,28462.14,3013290000,0,0
2019-12-31,28414.64,28547.35,28376.49,28538.44,2893810000,0,0
2020-01-02,28638.97,28872.8,28627.77,28868.8,3458250000,0,0
2020-01-03,28553.33,28716.31,28500.36,28634.88,3461290000,0,0
2020-01-06,28465.5,28708.02,28418.63,28703.38,3674070000,0,0
2020-01-07,28639.18,28685.5,28565.28,28583.68,3420380000,0,0
2020-01-08,28556.14,28866.18,28522.51,28745.09,3720890000,0,0
2020-01-09,28851.97,28988.01,28844.31,28956.9,3638390000,0,0
2020-01-10,28977.52,29009.07,28789.1,28823.77,3212970000,0,0
2020-01-13,28869.01,28909.91,28819.43,28907.05,3456380000,0,0
2020-01-14,28895.5,29054.16,28872.27,28939.67,3665130000,0,0
2020-01-15,28901.8,29127.59,28897.35,29030.22,3716840000,0,0
2020-01-16,29131.95,29300.32,29131.95,29297.64,3535080000,0,0
2020-01-17,29313.31,29373.62,29289.91,29348.1,3698170000,0,0
2020-01-21,29269.05,29341.21,29146.47,29196.04,4105340000,0,0
2020-01-22,29263.63,29320.2,29172.26,29186.27,3619850000,0,0
2020-01-23,29111.02,29190.47,28966.98,29160.09,3764860000,0,0
2020-01-24,29230.39,29288.79,28843.31,28989.73,3707130000,0,0
2020-01-27,28542.49,28671.79,28440.47,28535.8,3823100000,0,0
2020-01-28,28594.28,28823.23,28575.75,28722.85,3526720000,0,0
2020-01-29,28820.53,28944.24,28728.19,28734.45,3584500000,0,0
2020-01-30,28640.16,28879.71,28489.76,28859.44,3787250000,0,0
2020-01-31,28813.04,28813.04,28169.53,28256.03,4527830000,0,0
2020-02-03,28319.65,28630.39,28319.65,28399.81,3757910000,0,0
2020-02-04,28696.74,28904.88,28696.74,28807.63,3995320000,0,0
2020-02-05,29048.73,29308.89,29000.85,29290.85,4117730000,0,0
2020-02-06,29388.58,29408.05,29246.93,29379.77,3868370000,0,0
2020-02-07,29286.92,29286.92,29056.98,29102.51,3730650000,0,0
2020-02-10,28995.66,29278.07,28995.66,29276.82,3450350000,0,0
2020-02-11,29390.71,29415.39,29210.47,29276.34,3760550000,0,0
2020-02-12,29406.75,29568.57,29406.75,29551.42,3926380000,0,0
2020-02-13,29436.03,29535.4,29345.93,29423.31,3498240000,0,0
2020-02-14,29440.47,29463.04,29283.18,29398.08,3398040000,0,0
2020-02-18,29282.78,29330.16,29116.81,29232.19,3746720000,0,0
2020-02-19,29312.7,29409.09,29274.38,29348.03,3600150000,0,0
2020-02-20,29296.25,29368.45,28959.65,29219.98,4007320000,0,0
2020-02-21,29146.53,29146.53,28892.7,28992.41,3899270000,0,0
2020-02-24,28402.93,28402.93,27912.44,27960.8,4842960000,0,0
2020-02-25,28037.65,28149.2,26997.62,27081.36,5591510000,0,0
2020-02-26,27159.46,27542.78,26890.97,26957.59,5478110000,0,0
2020-02-27,26526.0,26775.31,25752.82,25766.64,66498130000,0,0
2020-02-28,25270.83,25494.24,24681.01,25409.36,8563850000,0,0
2020-03-02,25590.51,26706.17,25391.96,26703.32,6376400000,0,0
2020-03-03,26762.47,27084.59,25706.28,25917.41,6355940000,0,0
2020-03-04,26383.68,27102.34,26286.31,27090.86,5035480000,0,0
2020-03-05,26671.92,26671.92,25943.33,26121.28,5575550000,0,0
2020-03-06,25457.21,25994.38,25226.62,25864.78,6552140000,0,0
2020-03-09,24992.36,24992.36,23706.07,23851.02,8423050000,0,0
2020-03-10,24453.0,25020.99,23690.34,25018.16,7635960000,0,0
2020-03-11,24604.63,24604.63,23328.32,23553.22,7374110000,0,0
2020-03-12,22184.71,22837.95,21154.46,21200.62,8829380000,0,0
2020-03-13,21973.82,23189.76,21285.37,23185.62,8258670000,0,0
2020-03-16,20917.53,21768.28,20116.46,20188.52,7781540000,0,0
2020-03-17,20487.05,21379.35,19882.26,21237.38,8358500000,0,0
2020-03-18,20188.69,20489.33,18917.46,19898.92,8755780000,0,0
2020-03-19,19830.01,20442.63,19177.13,20087.19,7946710000,0,0
2020-03-20,20253.15,20531.26,19094.27,19173.98,9044690000,0,0
2020-03-23,19028.36,19121.01,18213.65,18591.93,7402180000,0,0
