Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-25,1.52,1.54,1.45,1.48,36400,0,0
2019-03-26,1.46,1.51,1.46,1.46,12600,0,0
2019-03-27,1.47,1.51,1.46,1.51,14300,0,0
2019-03-28,1.5,1.51,1.47,1.48,8100,0,0
2019-03-29,1.48,1.52,1.47,1.48,7000,0,0
2019-04-01,1.47,1.53,1.46,1.48,27900,0,0
2019-04-02,1.46,1.52,1.46,1.52,4300,0,0
2019-04-03,1.54,1.57,1.51,1.55,17500,0,0
2019-04-04,1.56,1.56,1.49,1.52,12800,0,0
2019-04-05,1.53,1.56,1.49,1.49,13400,0,0
2019-04-08,1.48,1.55,1.48,1.51,9400,0,0
2019-04-09,1.5,1.55,1.5,1.51,9000,0,0
2019-04-10,1.53,1.57,1.51,1.51,22400,0,0
2019-04-11,1.49,1.58,1.49,1.52,14500,0,0
2019-04-12,1.52,1.6,1.52,1.58,3500,0,0
2019-04-15,1.59,1.63,1.51,1.53,18600,0,0
2019-04-16,1.54,1.62,1.54,1.6,6100,0,0
2019-04-17,1.6,1.61,1.56,1.57,8400,0,0
2019-04-18,1.6,1.6,1.57,1.59,4500,0,0
2019-04-22,1.6,1.6,1.54,1.56,17500,0,0
2019-04-23,1.58,1.58,1.52,1.53,6900,0,0
2019-04-24,1.53,1.58,1.47,1.5,40400,0,0
2019-04-25,1.48,1.53,1.48,1.51,27800,0,0
2019-04-26,1.53,1.55,1.46,1.48,29600,0,0
2019-04-29,1.48,1.53,1.48,1.52,16400,0,0
2019-04-30,1.52,1.54,1.47,1.49,11300,0,0
2019-05-01,1.5,1.51,1.48,1.49,9400,0,0
2019-05-02,1.48,1.5,1.47,1.5,9600,0,0
2019-05-03,1.47,1.52,1.47,1.48,2000,0,0
2019-05-06,1.5,1.55,1.47,1.47,28000,0,0
2019-05-07,1.48,1.55,1.48,1.51,18700,0,0
2019-05-08,1.52,1.55,1.5,1.55,13900,0,0
2019-05-09,1.5,1.52,1.4,1.5,66500,0,0
2019-05-10,1.49,1.49,1.44,1.48,13200,0,0
2019-05-13,1.45,1.45,1.42,1.45,8900,0,0
2019-05-14,1.48,1.48,1.43,1.44,8100,0,0
2019-05-15,1.45,1.45,1.43,1.44,4900,0,0
2019-05-16,1.36,1.43,1.36,1.4,38500,0,0
2019-05-17,1.38,1.39,1.38,1.38,5800,0,0
2019-05-20,1.38,1.39,1.37,1.38,17100,0,0
2019-05-21,1.37,1.38,1.34,1.36,18800,0,0
2019-05-22,1.34,1.35,1.3,1.31,9000,0,0
2019-05-23,1.31,1.33,1.31,1.31,6500,0,0
2019-05-24,1.31,1.33,1.31,1.32,1200,0,0
2019-05-28,1.32,1.34,1.31,1.33,10100,0,0
2019-05-29,1.33,1.34,1.3,1.34,2700,0,0
2019-05-30,1.33,1.33,1.3,1.3,12200,0,0
2019-05-31,1.3,1.31,1.25,1.27,54200,0,0
2019-06-03,1.27,1.29,1.23,1.23,58100,0,0
2019-06-04,1.22,1.32,1.2,1.23,87900,0,0
2019-06-05,1.22,1.31,1.22,1.26,24900,0,0
2019-06-06,1.24,1.27,1.21,1.21,14800,0,0
2019-06-07,1.23,1.29,1.23,1.29,12300,0,0
2019-06-10,1.28,1.3,1.23,1.23,8900,0,0
2019-06-11,1.22,1.24,1.16,1.16,35300,0,0
2019-06-12,1.16,1.18,1.16,1.16,6400,0,0
2019-06-13,1.17,1.2,1.1,1.12,94100,0,0
2019-06-14,1.14,1.18,1.12,1.15,8200,0,0
2019-06-17,1.19,1.21,1.17,1.21,16300,0,0
2019-06-18,1.21,1.25,1.21,1.24,19200,0,0
2019-06-19,1.24,1.25,1.15,1.18,22100,0,0
2019-06-20,1.17,1.22,1.15,1.17,10300,0,0
2019-06-21,1.19,1.19,1.15,1.18,8500,0,0
2019-06-24,1.19,1.2,1.16,1.2,10000,0,0
2019-06-25,1.19,1.19,1.15,1.17,17300,0,0
2019-06-26,1.16,1.17,1.16,1.16,9600,0,0
2019-06-27,1.18,1.2,1.15,1.16,27600,0,0
2019-06-28,1.16,1.16,1.15,1.15,12900,0,0
2019-07-01,1.14,1.16,1.14,1.16,32800,0,0
2019-07-02,1.16,1.16,1.12,1.15,15400,0,0
2019-07-03,1.13,1.16,1.1,1.12,8000,0,0
2019-07-05,1.13,1.16,1.11,1.13,12000,0,0
2019-07-08,1.15,1.18,1.15,1.18,29700,0,0
2019-07-09,1.17,1.17,1.13,1.13,7500,0,0
2019-07-10,1.17,1.2,1.13,1.2,16400,0,0
2019-07-11,1.19,1.19,1.13,1.17,3800,0,0
2019-07-12,1.2,1.2,1.15,1.15,14400,0,0
2019-07-15,1.14,1.18,1.14,1.15,10400,0,0
2019-07-16,1.14,1.15,1.13,1.15,1200,0,0
2019-07-17,1.13,1.14,1.04,1.12,56400,0,0
2019-07-18,1.11,1.19,1.08,1.18,24900,0,0
2019-07-19,1.17,1.17,1.07,1.07,43800,0,0
2019-07-22,1.07,1.11,1.07,1.09,10700,0,0
2019-07-23,1.12,1.14,1.12,1.13,11200,0,0
2019-07-24,1.15,1.17,1.15,1.17,14500,0,0
2019-07-25,1.17,1.17,1.1,1.12,10100,0,0
2019-07-26,1.11,1.15,1.08,1.08,23500,0,0
2019-07-29,1.15,1.16,1.13,1.13,41300,0,0
2019-07-30,1.14,1.14,1.11,1.14,5500,0,0
2019-07-31,1.12,1.16,1.1,1.1,16200,0,0
