Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-25,273.29,274.58,272.08,273.45,85575200,0.0,0
2019-03-26,275.36,276.53,273.96,275.49,68125900,0.0,0
2019-03-27,275.48,276.12,272.36,274.05,72224700,0.0,0
2019-03-28,274.74,275.58,273.48,275.09,56238500,0.0,0
2019-03-29,276.74,277.18,275.51,276.82,82186800,0.0,0
2019-04-01,279.0,280.43,278.71,280.11,77617900,0.0,0
2019-04-02,280.31,280.5,279.38,280.24,40070400,0.0,0
2019-04-03,281.57,282.0,280.03,280.68,68243200,0.0,0
2019-04-04,281.04,281.7,280.28,281.43,48997500,0.0,0
2019-04-05,282.15,282.85,281.84,282.79,58621700,0.0,0
2019-04-08,282.33,283.13,281.62,283.01,53566300,0.0,0
2019-04-09,281.96,282.31,280.96,281.56,66142300,0.0,0
2019-04-10,282.01,282.62,281.56,282.52,52601500,0.0,0
2019-04-11,283.05,283.06,281.82,282.44,55093100,0.0,0
2019-04-12,284.19,284.65,282.49,284.35,69727800,0.0,0
2019-04-15,284.43,284.54,283.29,284.16,49596700,0.0,0
2019-04-16,285.12,285.18,283.7,284.35,52153200,0.0,0
2019-04-17,285.57,285.59,283.2,283.65,58268300,0.0,0
2019-04-18,284.29,284.51,282.88,284.21,68708500,0.0,0
2019-04-22,283.38,284.62,283.28,284.46,40160100,0.0,0
2019-04-23,284.86,287.27,284.6,287.02,52246600,0.0,0
2019-04-24,286.93,287.29,286.22,286.38,50392900,0.0,0
2019-04-25,286.27,286.92,284.91,286.2,57770900,0.0,0
2019-04-26,286.25,287.61,285.41,287.53,50916400,0.0,0
2019-04-29,287.63,288.55,287.53,287.99,57197700,0.0,0
2019-04-30,287.61,288.45,286.07,288.13,81111700,0.0,0
2019-05-01,288.82,289.04,285.96,285.97,71671900,0.0,0
2019-05-02,285.84,286.84,283.72,285.35,65030200,0.0,0
2019-05-03,286.96,288.45,285.47,288.14,56543700,0.0,0
2019-05-06,283.46,287.44,283.12,286.96,107198100,0.0,0
2019-05-07,284.34,284.99,280.09,282.16,144729900,0.0,0
2019-05-08,281.77,283.63,281.13,281.77,91568300,0.0,0
2019-05-09,279.52,281.58,277.63,280.92,103471100,0.0,0
2019-05-10,279.9,283.15,276.65,282.33,112429300,0.0,0
2019-05-13,276.76,277.81,274.32,275.24,127290500,0.0,0
2019-05-14,276.34,279.39,276.21,277.73,77003200,0.0,0
2019-05-15,275.95,280.05,275.73,279.35,73956400,0.0,0
2019-05-16,280.12,283.42,280.04,281.94,76749600,0.0,0
2019-05-17,279.43,282.82,279.41,280.12,100353000,0.0,0
2019-05-20,278.37,280.23,277.45,278.26,62877600,0.0,0
2019-05-21,280.11,281.18,279.83,280.77,46847100,0.0,0
2019-05-22,279.73,280.95,279.39,279.91,49482500,0.0,0
2019-05-23,277.49,277.54,274.95,276.49,98733800,0.0,0
2019-05-24,278.06,278.51,276.44,277.12,55268100,0.0,0
2019-05-28,277.42,278.46,274.52,274.54,70029400,0.0,0
2019-05-29,273.33,273.77,271.17,272.7,104972900,0.0,0
2019-05-30,273.52,274.43,272.25,273.44,62523800,0.0,0
2019-05-31,270.67,271.57,269.73,269.76,86862800,0.0,0
2019-06-03,269.8,271.01,267.62,269.07,96428000,0.0,0
2019-06-04,271.57,275.06,271.08,274.91,77231900,0.0,0
2019-06-05,276.68,277.32,274.71,277.29,71169700,0.0,0
2019-06-06,277.62,279.83,276.91,279.1,69430400,0.0,0
2019-06-07,280.2,283.07,280.02,281.89,74272200,0.0,0
2019-06-10,283.58,285.0,283.09,283.18,60799100,0.0,0
2019-06-11,285.16,285.57,282.41,283.12,58641300,0.0,0
2019-06-12,282.86,283.47,282.06,282.62,46984700,0.0,0
2019-06-13,283.61,284.17,282.84,283.78,48945200,0.0,0
2019-06-14,283.47,284.12,282.64,283.47,52324700,0.0,0
2019-06-17,283.72,284.41,283.39,283.58,39205700,0.0,0
2019-06-18,285.56,287.69,285.16,286.55,85434800,0.0,0
2019-06-19,286.69,287.77,285.63,287.19,78674400,0.0,0
2019-06-20,290.11,290.38,287.26,289.94,116570000,0.0,0
2019-06-21,289.64,291.01,289.28,289.51,83309500,1.432,0
2019-06-24,289.74,290.09,288.99,289.16,47582700,0.0,0
2019-06-25,289.22,289.25,286.21,286.32,82028700,0.0,0
2019-06-26,287.3,287.85,285.92,286.04,51584900,0.0,0
2019-06-27,286.87,287.6,286.45,287.05,40355200,0.0,0
2019-06-28,288.12,289.07,287.55,288.53,59350900,0.0,0
2019-07-01,292.15,292.39,289.84,291.15,79107500,0.0,0
2019-07-02,291.1,291.97,290.18,291.91,61504500,0.0,0
2019-07-03,292.65,294.26,292.49,294.24,40898900,0.0,0
2019-07-05,292.9,294.08,291.49,293.91,51677300,0.0,0
2019-07-08,292.48,293.71,291.7,292.29,45841800,0.0,0
2019-07-09,291.03,292.98,290.97,292.66,41101300,0.0,0
2019-07-10,293.82,295.09,293.24,294.05,58448500,0.0,0
2019-07-11,294.75,295.01,293.65,294.74,50826100,0.0,0
2019-07-12,295.28,296.14,294.94,296.06,40326000,0.0,0
2019-07-15,296.54,296.54,295.61,296.16,33900000,0.0,0
2019-07-16,296.06,296.29,294.87,295.21,36650100,0.0,0
2019-07-17,295.18,295.35,293.2,293.2,36036300,0.0,0
2019-07-18,292.66,294.68,292.17,294.27,51392600,0.0,0
2019-07-19,295.46,295.49,292.45,292.64,58678600,0.0,0
2019-07-22,293.07,293.95,292.51,293.35,43638100,0.0,0
2019-07-23,294.58,295.45,293.67,295.45,44564500,0.0,0
2019-07-24,294.63,296.84,294.53,296.84,47213200,0.0,0
2019-07-25,296.35,296.41,294.55,295.42,55394100,0.0,0
2019-07-26,296.17,297.62,296.03,297.4,45084100,0.0,0
2019-07-29,297.27,297.4,296.26,296.86,38126500,0.0,0
2019-07-30,295.33,296.57,294.92,296.13,45849000,0.0,0
2019-07-31,296.4,296.6,290.7,292.89,104245200,0.0,0
2019-08-01,293.06,296.28,289.47,290.34,142646600,0.0,0
2019-08-02,289.37,289.63,286.46,288.16,116749700,0.0,0
2019-08-05,283.69,283.81,277.42,279.49,178745400,0.0,0
2019-08-06,281.55,283.65,279.94,283.41,120711700,0.0,0
2019-08-07,280.06,284.41,277.74,283.58,140572300,0.0,0
2019-08-08,285.2,289.14,284.6,289.14,87713900,0.0,0
2019-08-09,288.12,288.77,285.23,287.17,93730000,0.0,0
2019-08-12,285.54,287.16,282.64,283.67,62629500,0.0,0
2019-08-13,283.35,289.66,282.98,288.09,94299800,0.0,0
2019-08-14,283.67,284.33,279.43,279.57,135622100,0.0,0
2019-08-15,280.53,281.28,278.08,280.31,99556600,0.0,0
2019-08-16,282.11,284.92,280.37,284.44,83018300,0.0,0
2019-08-19,287.73,288.61,286.99,287.87,53571800,0.0,0
2019-08-20,287.32,287.9,285.53,285.66,51596400,0.0,0
2019-08-21,288.02,288.39,287.27,287.99,49524700,0.0,0
2019-08-22,288.76,289.45,285.97,287.9,51666400,0.0,0
2019-08-23,286.48,288.29,279.15,280.5,149161500,0.0,0
2019-08-26,282.89,283.61,281.22,283.61,72423800,0.0,0
2019-08-27,285.12,285.53,281.67,282.49,66668900,0.0,0
2019-08-28,281.77,284.66,280.9,284.48,59696700,0.0,0
2019-08-29,287.27,288.69,286.18,288.12,57899400,0.0,0
2019-08-30,289.73,289.75,286.97,287.99,62901200,0.0,0
2019-09-03,286.14,287.13,284.86,286.3,69101400,0.0,0
2019-09-04,288.67,289.57,287.85,289.55,46887300,0.0,0
2019-09-05,292.26,294.27,289.51,293.28,83258100,0.0,0
2019-09-06,293.62,294.2,292.88,293.5,49584300,0.0,0
2019-09-09,294.58,294.67,292.63,293.65,51260300,0.0,0
2019-09-10,292.82,293.65,291.45,293.58,57947100,0.0,0
2019-09-11,293.92,295.76,293.21,295.67,68821100,0.0,0
2019-09-12,296.65,297.85,295.83,296.69,72908700,0.0,0
2019-09-13,297.18,297.56,296.09,296.5,62104800,0.0,0
2019-09-16,295.27,296.55,294.88,295.58,58191200,0.0,0
2019-09-17,295.36,296.43,295.18,296.33,41475500,0.0,0
2019-09-18,295.91,296.62,293.69,296.51,73375800,0.0,0
2019-09-19,296.93,298.01,296.12,296.49,76560500,0.0,0
2019-09-20,297.14,297.45,294.22,295.09,89565000,1.384,0
2019-09-23,294.36,295.8,294.09,295.02,43476800,0.0,0
2019-09-24,296.2,296.63,291.65,292.7,94869400,0.0,0
2019-09-25,292.79,294.92,291.18,294.43,71854000,0.0,0
2019-09-26,294.44,294.67,292.29,293.82,56179700,0.0,0
2019-09-27,294.64,294.76,290.54,292.24,84746600,0.0,0
2019-09-30,292.8,294.36,292.75,293.59,51662400,0.0,0
2019-10-01,294.55,295.26,289.86,290.1,88242400,0.0,0
2019-10-02,288.38,288.39,283.57,284.97,122539500,0.0,0
2019-10-03,284.73,287.34,281.77,287.31,85278800,0.0,0
2019-10-04,288.02,291.47,287.96,291.2,65091200,0.0,0
2019-10-07,290.33,292.1,289.63,289.94,59610500,0.0,0
2019-10-08,287.92,288.72,285.4,285.44,95708100,0.0,0
2019-10-09,287.64,289.17,286.95,288.15,62359400,0.0,0
2019-10-10,288.06,291.06,287.88,290.1,55296300,0.0,0
2019-10-11,293.1,295.54,292.97,293.11,98720400,0.0,0
2019-10-14,292.76,293.49,292.4,292.78,40394800,0.0,0
2019-10-15,293.92,296.49,293.79,295.68,46754500,0.0,0
2019-10-16,295.17,295.96,294.73,295.2,48928200,0.0,0
2019-10-17,296.47,297.02,295.32,296.07,45736600,0.0,0
2019-10-18,295.49,296.19,293.85,294.78,64304000,0.0,0
2019-10-21,296.21,296.99,295.74,296.78,39048600,0.0,0
2019-10-22,297.36,297.68,295.71,295.81,48594700,0.0,0
2019-10-23,295.53,296.73,295.3,296.67,34352200,0.0,0
2019-10-24,297.69,297.85,296.25,297.15,35453100,0.0,0
2019-10-25,296.53,298.96,296.47,298.37,45205400,0.0,0
2019-10-28,299.7,300.6,299.67,300.05,42147000,0.0,0
2019-10-29,299.75,300.97,299.62,299.96,44284900,0.0,0
2019-10-30,300.18,301.29,298.76,300.88,49643900,0.0,0
2019-10-31,300.87,300.87,298.5,300.08,69053800,0.0,0
2019-11-01,301.65,302.91,301.48,302.86,71141500,0.0,0
2019-11-04,304.55,304.7,303.67,304.08,60606900,0.0,0
2019-11-05,304.3,304.62,303.43,303.74,42933200,0.0,0
2019-11-06,303.74,304.11,302.78,303.81,46487100,0.0,0
2019-11-07,305.27,306.33,304.37,304.88,54272300,0.0,0
2019-11-08,304.5,305.69,303.74,305.63,49032100,0.0,0
2019-11-11,304.13,305.24,303.98,305.05,35797300,0.0,0
2019-11-12,305.44,306.67,304.85,305.69,46484600,0.0,0
2019-11-13,304.61,306.22,304.37,305.79,53917700,0.0,0
2019-11-14,305.48,306.32,304.79,306.23,51219900,0.0,0
2019-11-15,307.69,308.5,306.94,308.45,62023600,0.0,0
2019-11-18,308.19,308.94,307.7,308.68,49228000,0.0,0
2019-11-19,309.33,309.34,307.89,308.59,67804700,0.0,0
2019-11-20,307.95,308.51,305.75,307.44,79406200,0.0,0
2019-11-21,307.56,307.68,306.08,306.95,54664700,0.0,0
2019-11-22,307.76,307.91,306.53,307.63,44850200,0.0,0
2019-11-25,308.64,310.01,308.64,310.01,48647200,0.0,0
2019-11-26,310.05,310.91,309.71,310.72,37569000,0.0,0
2019-11-27,311.24,312.1,311.0,312.1,44444600,0.0,0
2019-11-29,311.49,311.76,310.7,310.94,36592700,0.0,0
2019-12-02,311.22,311.29,307.84,308.3,75767800,0.0,0
2019-12-03,305.34,306.32,303.84,306.23,73941700,0.0,0
2019-12-04,307.37,308.78,307.0,308.12,49080000,0.0,0
2019-12-05,308.89,308.91,307.25,308.68,40709000,0.0,0
2019-12-06,310.76,311.93,310.75,311.5,48927000,0.0,0
2019-12-09,311.07,311.8,310.44,310.52,34838500,0.0,0
2019-12-10,310.46,311.18,309.46,310.17,52649800,0.0,0
2019-12-11,310.67,311.33,310.08,311.05,53429100,0.0,0
2019-12-12,311.06,314.58,310.81,313.73,96389600,0.0,0
2019-12-13,313.48,315.26,312.64,313.92,81503900,0.0,0
2019-12-16,315.8,316.72,313.85,316.08,82749700,0.0,0
2019-12-17,316.49,316.82,316.06,316.15,61097700,0.0,0
2019-12-18,316.57,316.82,316.11,316.17,48133000,0.0,0
2019-12-19,316.38,317.54,316.1,317.46,85310500,0.0,0
2019-12-20,318.59,320.09,317.52,318.86,147142100,1.57,0
2019-12-23,319.71,319.77,319.18,319.34,52990000,0.0,0
2019-12-24,319.59,319.64,319.02,319.35,20270000,0.0,0
2019-12-26,319.77,321.06,319.76,321.05,30911200,0.0,0
2019-12-27,321.85,321.91,320.4,320.97,42528800,0.0,0
2019-12-30,321.06,321.21,318.68,319.2,49729100,0.0,0
2019-12-31,318.66,320.25,318.28,319.98,57077300,0.0,0
2020-01-02,321.65,322.99,320.64,322.97,59151200,0.0,0
2020-01-03,319.28,321.75,319.22,320.53,77709700,0.0,0
2020-01-06,318.62,321.84,318.49,321.75,55653900,0.0,0
2020-01-07,321.13,321.65,320.36,320.84,40496400,0.0,0
2020-01-08,321.05,323.88,320.78,322.55,68296000,0.0,0
2020-01-09,324.25,324.82,323.62,324.74,48473300,0.0,0
2020-01-10,325.38,325.55,323.3,323.81,53029300,0.0,0
2020-01-13,324.48,326.04,324.01,326.03,47086800,0.0,0
2020-01-14,325.56,326.7,324.93,325.54,62832800,0.0,0
2020-01-15,325.44,327.1,325.35,326.27,72056600,0.0,0
2020-01-16,327.77,328.99,327.52,328.99,54050300,0.0,0
2020-01-17,329.76,330.24,328.92,330.01,95846000,0.0,0
2020-01-21,328.97,330.24,328.89,329.36,77742400,0.0,0
2020-01-22,330.3,331.0,329.23,329.4,48914900,0.0,0
2020-01-23,328.7,330.23,327.48,329.78,51963000,0.0,0
2020-01-24,330.5,330.59,325.45,326.85,87578400,0.0,0
2020-01-27,321.14,323.22,320.77,321.61,84062500,0.0,0
2020-01-28,323.16,325.93,321.71,324.98,63834000,0.0,0
2020-01-29,326.46,326.71,324.49,324.71,53888900,0.0,0
2020-01-30,322.46,325.99,321.65,325.76,75491800,0.0,0
2020-01-31,325.09,325.26,318.86,319.85,113845600,0.0,0
2020-02-03,321.46,324.25,321.33,322.23,69242300,0.0,0
2020-02-04,326.15,328.08,325.8,327.14,62573200,0.0,0
2020-02-05,330.33,331.14,328.74,330.91,65951100,0.0,0
2020-02-06,331.96,332.24,330.85,332.03,50359700,0.0,0
2020-02-07,330.87,332.04,329.66,330.26,64139400,0.0,0
2020-02-10,329.29,332.79,329.25,332.72,42070000,0.0,0
2020-02-11,334.19,335.05,332.72,333.3,54864500,0.0,0
2020-02-12,334.86,335.68,334.46,335.45,43992700,0.0,0
2020-02-13,333.9,336.14,333.6,335.09,54501900,0.0,0
2020-02-14,335.54,335.76,334.23,335.63,64582200,0.0,0
2020-02-18,334.54,335.7,333.25,334.76,57226200,0.0,0
2020-02-19,335.82,337.1,335.51,336.36,48814700,0.0,0
2020-02-20,335.77,336.66,331.73,334.98,74163400,0.0,0
2020-02-21,333.51,333.85,330.64,331.53,113788200,0.0,0
2020-02-24,321.25,331.61,319.36,320.54,161088400,0.0,0
2020-02-25,322.05,322.71,309.87,310.82,218913200,0.0,0
2020-02-26,312.34,316.25,308.88,309.68,194773800,0.0,0
2020-02-27,303.67,309.74,295.77,295.77,284353500,0.0,0
2020-02-28,287.01,296.15,283.87,294.53,385764000,0.0,0
2020-03-02,296.47,307.35,292.74,307.28,238703600,0.0,0
2020-03-03,307.69,312.01,295.83,298.48,300139100,0.0,0
2020-03-04,304.33,311.27,301.56,311.03,176613400,0.0,0
2020-03-05,303.2,306.67,298.26,300.69,186366800,0.0,0
2020-03-06,291.44,297.03,288.53,295.72,228667200,0.0,0
2020-03-09,273.69,282.53,271.85,272.63,309417300,0.0,0
2020-03-10,282.98,286.83,271.9,286.73,276444100,0.0,0
2020-03-11,279.06,280.29,269.3,272.76,255316300,0.0,0
2020-03-12,254.5,265.1,246.23,246.66,392220700,0.0,0
2020-03-13,261.55,269.89,247.07,267.75,329566100,0.0,0
2020-03-16,239.77,255.4,235.97,238.45,297240000,0.0,0
2020-03-17,243.61,254.67,235.68,251.32,262070500,0.0,0
2020-03-18,234.87,246.92,226.69,238.6,327597100,0.0,0
2020-03-19,237.85,245.93,230.86,239.1,289322000,0.0,0
2020-03-20,242.53,244.47,228.5,228.8,347158800,1.406,0
2020-03-23,228.19,229.68,218.26,222.95,323993300,0.0,0
