Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-25,0.5,1.0,0.18,0.25,80275,0,0
2019-03-26,0.3,0.3,0.2,0.26,68298,0,0
2019-03-27,0.25,0.4,0.24,0.27,27487,0,0
2019-03-28,0.3,0.3,0.2,0.25,68665,0,0
2019-03-29,0.26,0.3,0.24,0.28,36386,0,0
2019-04-01,0.3,0.3,0.28,0.29,27825,0,0
2019-04-02,0.3,0.5,0.28,0.5,47803,0,0
2019-04-03,0.5,0.71,0.5,0.66,51374,0,0
2019-04-04,0.68,0.8,0.68,0.75,27745,0,0
2019-04-05,0.7,1.05,0.65,1.05,39025,0,0
2019-04-08,0.8,1.5,0.8,1.0,127116,0,0
2019-04-09,1.03,1.5,1.0,1.05,21952,0,0
2019-04-10,1.06,1.15,1.05,1.1,29502,0,0
2019-04-11,1.15,1.7,1.15,1.7,57615,0,0
2019-04-12,1.75,4.02,1.5,3.4,108911,0,0
2019-04-15,4.0,6.0,3.4,5.76,118061,0,0
2019-04-16,5.77,6.0,1.0,1.3,239076,0,0
2019-04-17,1.4,2.5,1.31,2.45,112766,0,0
2019-04-18,2.65,5.5,2.4,2.7,996163,0,0
2019-04-22,2.65,2.8,2.0,2.25,421069,0,0
2019-04-23,2.01,2.25,1.5,1.62,239449,0,0
2019-04-24,1.62,1.6,1.2,1.27,207464,0,0
2019-04-25,1.25,1.39,1.1,1.25,121975,0,0
2019-04-26,1.2,1.23,1.05,1.1,81852,0,0
2019-04-29,1.1,1.4,1.05,1.4,155715,0,0
2019-04-30,1.45,1.9,1.45,1.85,197255,0,0
2019-05-01,2.1,3.4,1.9,2.77,388015,0,0
2019-05-02,2.72,2.8,1.91,2.5,139737,0,0
2019-05-03,2.0,2.25,1.9,2.1,95969,0,0
2019-05-06,2.05,2.14,1.71,2.05,70467,0,0
2019-05-07,1.94,2.15,1.85,2.0,29459,0,0
2019-05-08,1.8,2.3,1.8,2.1,56819,0,0
2019-05-09,2.1,2.1,1.81,2.0,28246,0,0
2019-05-10,2.05,2.08,1.83,1.99,28317,0,0
2019-05-13,1.95,2.05,1.8,1.9,30029,0,0
2019-05-14,2.0,2.1,2.0,2.03,11427,0,0
2019-05-15,2.04,2.1,1.91,2.05,17122,0,0
2019-05-16,2.15,2.24,1.9,2.2,39497,0,0
2019-05-17,1.9,2.24,1.9,1.95,30015,0,0
2019-05-20,2.0,2.0,1.75,1.98,39264,0,0
2019-05-21,2.0,2.0,2.0,2.0,1143,0,0
2019-05-22,1.98,2.0,1.95,1.98,17627,0,0
2019-05-23,1.9,2.05,1.8,1.8,22588,0,0
2019-05-24,2.1,2.1,1.8,2.0,12454,0,0
2019-05-28,2.2,2.2,1.8,1.9,16425,0,0
2019-05-29,1.85,1.9,1.8,1.8,27344,0,0
2019-05-30,1.8,1.9,1.75,1.81,7233,0,0
2019-05-31,1.75,1.8,1.68,1.8,15247,0,0
2019-06-03,1.79,1.79,1.7,1.72,8845,0,0
2019-06-04,1.72,1.8,1.6,1.71,68417,0,0
2019-06-05,1.5,1.75,1.2,1.51,39089,0,0
2019-06-06,1.79,1.95,1.31,1.51,16328,0,0
2019-06-07,1.94,1.94,1.41,1.51,32378,0,0
2019-06-10,1.4,1.89,1.4,1.75,31926,0,0
2019-06-11,1.5,1.95,1.4,1.7,72038,0,0
2019-06-12,1.75,1.95,1.5,1.73,27384,0,0
2019-06-13,1.89,1.89,1.62,1.78,17524,0,0
2019-06-14,1.94,1.95,1.76,1.9,35164,0,0
2019-06-17,1.95,1.97,1.71,1.8,23023,0,0
2019-06-18,1.81,1.9,1.76,1.88,12069,0,0
2019-06-19,1.88,1.9,1.8,1.8,19371,0,0
2019-06-20,1.81,1.85,1.75,1.79,22215,0,0
2019-06-21,1.85,1.86,1.71,1.86,12152,0,0
2019-06-24,1.81,1.88,1.75,1.75,8830,0,0
2019-06-25,1.89,1.95,1.75,1.92,37898,0,0
2019-06-26,1.89,1.9,1.6,1.9,78915,0,0
2019-06-27,1.69,1.95,1.61,1.64,31801,0,0
2019-06-28,1.71,1.9,1.7,1.72,14768,0,0
2019-07-01,1.9,1.9,1.61,1.88,26193,0,0
2019-07-02,1.75,1.88,1.75,1.76,6020,0,0
2019-07-03,1.9,1.97,1.76,1.95,52186,0,0
2019-07-05,2.0,2.15,1.94,2.12,73262,0,0
2019-07-08,2.13,2.24,2.1,2.12,30483,0,0
2019-07-09,2.25,2.4,2.12,2.2,20944,0,0
2019-07-10,2.22,2.4,2.0,2.23,30338,0,0
2019-07-11,2.2,2.39,2.2,2.29,21309,0,0
2019-07-12,2.4,3.0,2.26,2.7,94842,0,0
2019-07-15,3.0,3.6,2.9,3.51,107425,0,0
2019-07-16,3.54,3.75,3.05,3.19,79228,0,0
2019-07-17,3.68,4.0,3.19,3.42,46656,0,0
2019-07-18,3.4,4.5,3.4,3.7,47196,0,0
2019-07-19,3.71,3.99,3.6,3.9,55609,0,0
2019-07-22,4.0,4.6,3.9,4.5,59856,0,0
2019-07-23,4.8,6.0,4.61,5.65,132039,0,0
2019-07-24,5.65,9.0,5.6,7.0,180995,0,0
2019-07-25,7.5,7.51,4.1,4.7,146138,0,0
2019-07-26,5.25,5.75,4.0,4.2,142064,0,0
2019-07-29,4.22,4.75,4.0,4.4,49015,0,0
2019-07-30,4.5,4.83,4.45,4.8,27019,0,0
2019-07-31,4.75,5.25,4.7,5.04,41441,0,0
2019-08-01,5.99,5.99,5.0,5.25,38637,0,0
2019-08-02,5.95,5.95,5.0,5.21,32721,0,0
2019-08-05,5.0,5.5,4.3,4.41,66348,0,0
2019-08-06,4.41,5.5,4.4,5.03,32440,0,0
2019-08-07,4.55,5.25,4.5,5.0,13679,0,0
2019-08-08,5.25,5.25,4.75,5.01,8851,0,0
2019-08-09,4.8,5.0,4.8,5.0,508,0,0
2019-08-12,4.5,5.0,4.11,4.5,70857,0,0
2019-08-13,4.02,4.5,4.0,4.45,22454,0,0
2019-08-14,4.26,4.3,4.1,4.2,28158,0,0
2019-08-15,4.01,4.1,3.25,3.4,28650,0,0
2019-08-16,3.4,4.4,3.4,4.4,21686,0,0
2019-08-19,4.35,4.55,3.5,4.0,13738,0,0
2019-08-20,4.11,4.12,3.8,4.02,7006,0,0
2019-08-21,4.37,4.75,4.2,4.48,13660,0,0
2019-08-22,4.5,4.55,4.25,4.25,11055,0,0
2019-08-23,4.0,4.54,3.98,4.1,5140,0,0
2019-08-26,4.0,4.21,3.7,3.89,9733,0,0
2019-08-27,3.7,3.87,2.5,3.25,86324,0,0
2019-08-28,3.2,3.2,2.8,3.11,18902,0,0
2019-08-29,3.25,3.25,2.75,3.23,11868,0,0
2019-08-30,3.49,3.7,2.8,3.01,10637,0,0
2019-09-03,3.06,3.06,2.91,2.95,8196,0,0
2019-09-04,2.82,3.05,2.51,3.05,14037,0,0
2019-09-05,3.0,3.07,2.5,3.0,22009,0,0
2019-09-06,3.0,3.1,2.65,3.1,25089,0,0
2019-09-09,3.0,3.54,2.66,3.0,13218,0,0
2019-09-10,3.11,3.2,2.76,3.0,7951,0,0
2019-09-11,2.9,2.9,2.6,2.66,17814,0,0
2019-09-12,2.65,2.8,2.65,2.66,6841,0,0
2019-09-13,2.66,2.7,2.6,2.6,6250,0,0
2019-09-16,2.6,2.75,2.6,2.75,6344,0,0
2019-09-17,2.55,2.55,2.5,2.5,17381,0,0
2019-09-18,2.51,2.8,2.4,2.5,15730,0,0
2019-09-19,2.5,2.6,2.3,2.6,3480,0,0
2019-09-20,2.85,2.85,2.5,2.75,5780,0,0
2019-09-23,2.51,2.85,2.51,2.6,3982,0,0
2019-09-24,2.6,2.63,2.51,2.53,5405,0,0
2019-09-25,2.5,2.75,2.25,2.68,20468,0,0
2019-09-26,2.6,2.65,2.6,2.65,1451,0,0
2019-09-27,2.65,2.65,2.5,2.5,12692,0,0
2019-09-30,2.65,2.65,2.5,2.5,18919,0,0
2019-10-01,2.65,2.65,2.55,2.65,3279,0,0
2019-10-02,2.63,2.75,2.51,2.56,3466,0,0
2019-10-03,2.5,2.65,2.15,2.6,29227,0,0
2019-10-04,2.63,2.75,2.62,2.65,16910,0,0
2019-10-07,2.66,2.78,2.62,2.64,7301,0,0
2019-10-08,2.64,2.64,2.3,2.6,7760,0,0
2019-10-09,2.5,2.6,2.5,2.6,1955,0,0
2019-10-10,2.75,2.75,2.31,2.55,12600,0,0
2019-10-11,2.31,2.6,2.31,2.31,12619,0,0
2019-10-14,2.31,2.47,2.31,2.37,1850,0,0
2019-10-15,2.5,2.51,2.31,2.5,9175,0,0
2019-10-16,2.49,2.49,2.45,2.45,2634,0,0
2019-10-17,2.5,2.5,2.31,2.49,8008,0,0
2019-10-18,2.3,2.55,2.3,2.32,5125,0,0
2019-10-21,2.46,2.46,2.4,2.4,3577,0,0
2019-10-22,2.3,2.49,2.3,2.48,6073,0,0
2019-10-23,2.31,2.55,2.31,2.5,13597,0,0
2019-10-24,2.32,2.46,2.32,2.4,5343,0,0
2019-10-25,2.49,2.5,2.31,2.49,7034,0,0
2019-10-28,2.5,2.51,2.31,2.31,9291,0,0
2019-10-29,2.31,2.5,2.31,2.5,7330,0,0
2019-10-30,2.5,2.5,2.33,2.49,15720,0,0
2019-10-31,2.4,2.4,2.32,2.35,3970,0,0
2019-11-01,2.5,2.5,2.32,2.32,7183,0,0
2019-11-04,2.31,2.33,2.3,2.33,954,0,0
2019-11-05,2.32,2.36,2.32,2.36,7426,0,0
2019-11-06,2.3,2.35,2.3,2.35,1733,0,0
2019-11-07,2.35,2.35,2.3,2.3,6507,0,0
2019-11-08,2.3,2.5,2.28,2.5,3310,0,0
2019-11-11,2.5,2.5,2.2,2.2,7895,0,0
2019-11-12,2.3,2.3,2.0,2.0,8712,0,0
2019-11-13,1.55,2.04,1.52,2.0,24923,0,0
2019-11-14,1.5,2.45,1.5,1.8,6672,0,0
2019-11-15,1.85,2.25,1.85,2.0,15035,0,0
2019-11-18,1.75,2.05,1.75,2.02,11485,0,0
2019-11-19,2.02,2.02,2.02,2.02,0,0,0
